asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,sp500_return_1d,5,-0.03974911883591183,0.0638801118320372,-0.04108611663694859,0.055442101240484855,2174,0.0015873015873015927,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,sp500_return_5d,1,-0.011509164993598976,0.5917253534069608,-0.02744487052236164,0.2008427434184958,2174,0.005555555555555558,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,sp500_return_5d,3,-0.03473975158927538,0.10553487274506074,-0.03520026891450208,0.10099215715997134,2172,0.0007936507936507853,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,sp500_return_5d,20,-0.0025524010245310284,0.9057357120100817,-0.008777838004419355,0.6838199600534257,2155,0.00793650793650793,0.003968253968253954,10,5,0.995142207056072,0.5,REMOVE,50.0
AAPL,nasdaq_return_1d,5,-0.037427088663665405,0.08103892890682247,-0.03954315547996095,0.06526966935685503,2174,0.007936507936507936,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,nasdaq_return_5d,0,-0.0006478213225124982,0.9759115279141957,0.00041546814367057804,0.9845499259561666,2175,0.0031746031746031746,0.003968253968253954,10,5,0.995142207056072,0.5,REMOVE,50.0
AAPL,nasdaq_return_5d,1,-0.008498726268554462,0.6920738011782941,-0.014967457966188228,0.4854818167653389,2174,0.0031746031746031746,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,nasdaq_return_5d,2,-0.011234435198226323,0.6006865910592062,-0.023363586970607416,0.27631884661894973,2173,0.003968253968253959,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,nasdaq_return_5d,3,-0.0289327525395681,0.177687717840112,-0.029148440066143845,0.17447592364457024,2172,0.0047619047619047615,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,vix_return_1d,10,-0.01143771675169085,0.594453358536947,-0.016166729395395298,0.45172605765452306,2169,0.002380952380952378,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,us10y_return_5d,0,-0.013918806372127763,0.5164752991100223,-0.021817216407453804,0.30914231490664135,2175,0.0023809523809523725,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,us10y_return_5d,10,-0.0077142227027160145,0.7197915212746555,-0.004361418940421824,0.8392767631831028,2165,0.01111111111111111,0.007936507936507908,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,us10y_return_5d,20,-0.0031548532915703716,0.8836293720539349,0.014810452063003772,0.4919760771613662,2155,0.006349206349206354,0.003968253968253982,10,5,0.995142207056072,0.5,REMOVE,50.0
AAPL,copper_return_1d,5,-0.006998596476259177,0.744379727548131,0.0009486631952249907,0.9647474334782679,2173,0.0031746031746031746,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,copper_return_1d,60,0.012405004135544424,0.5682811728612612,0.006695538045734429,0.7581113882393438,2118,0.008730158730158732,0.007936507936507908,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,silver_return_1d,0,0.03093687624981284,0.1489328372625277,0.021713053464364467,0.3111245513348651,2178,0.010317460317460326,0.003968253968253982,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,silver_return_1d,10,0.01035623772335964,0.6298487407518639,0.019880733503473157,0.35484105293032586,2168,0.003968253968253971,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,silver_return_5d,5,-0.021572857355341805,0.31526289144303404,-0.036093195879416166,0.09285428423716639,2169,0.0023809523809523725,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,bitcoin_return_1d,2,-0.002405802967877099,0.9106551238616227,-0.00506978821209227,0.8130696287290614,2178,0.0015873015873015873,0.003968253968253954,10,5,0.995142207056072,0.5,REMOVE,50.0
AAPL,bitcoin_return_1d,60,0.018582702799189922,0.392450895814905,0.019789721433388287,0.3624329191084745,2120,0.005555555555555564,0.003968253968253982,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,bitcoin_return_5d,60,-0.0027694195831600033,0.8986885017735493,-0.006433158377845209,0.7674183490071721,2116,0.005555555555555552,0.003968253968253982,10,5,0.995142207056072,0.5,REMOVE,50.0
AAPL,gold_return_5d,1,-0.01900041531087227,0.3760039347694853,-0.0183246414898834,0.3932204972874733,2173,-1.1102230246251566e-17,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,10.0
AAPL,nasdaq_return_5d,60,0.01541073071510006,0.47872845355221544,0.021248042058520027,0.3287119880821135,2115,-0.00317460317460318,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,10.0
AAPL,vix_return_5d,5,-0.0010382104001832393,0.9614489659863114,-0.005178119704110268,0.8094959643318322,2170,-0.003968253968253965,0.003968253968253954,10,5,0.995142207056072,0.5,REMOVE,10.0
AAPL,vix_return_5d,20,-0.009340797020665622,0.6647415334381055,0.008860097574633163,0.6810192419898367,2155,-5.551115123125783e-18,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,10.0
AAPL,silver_return_5d,3,-0.03165126124990135,0.1404065973442788,-0.03967876515785505,0.06453652245153144,2171,-0.0047619047619047615,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,10.0
AAPL,silver_return_5d,60,0.008988895358554738,0.6795643923427491,0.01797988293033336,0.40865577146542725,2114,-0.0007936507936508019,0.0,10,5,0.9914592642313097,0.5,REMOVE,10.0
AAPL,gold_return_1d,0,0.025557354590601884,0.2331642482284124,0.01975997005849374,0.35666443343914905,2178,0.0047619047619047675,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,gold_return_1d,3,0.0106765886147665,0.6187301284372452,0.00848259723717675,0.6925612168156133,2175,-0.007142857142857145,-0.003968253968253954,10,4,0.9914592642313097,0.4,REMOVE,8.0
