asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,macro_us2y_change_5d,3,0.0027236398242121494,0.8990036382284887,0.0024703219637398147,0.9083535027665486,2174,-0.012698412698412704,-0.007936507936507964,10,3,0.9611946121890618,0.3,REMOVE,4.5
AAPL,macro_financial_conditions_change_5d,5,0.004219072466588365,0.8453089366092763,0.0026799130314814935,0.901370775425266,2141,-0.0015873015873015817,0.0,10,3,0.9526307297197488,0.3,REMOVE,4.5
AAPL,macro_cpi_change_30d,5,-0.03533954128301886,0.10561290316113275,-0.025015012336491768,0.2520922664885389,2098,-0.007142857142857145,0.0,10,3,0.7073046217575983,0.3,REMOVE,4.5
AAPL,macro_cpi_change_30d,20,-0.016444136942756996,0.45318912321258364,-0.013251128631273748,0.5455487378616688,2083,-0.012698412698412681,-0.015873015873015872,10,3,0.865763609833163,0.3,REMOVE,4.5
AAPL,macro_unemployment_level,0,0.02334513211571614,0.2811694128659865,0.016482427726895912,0.44675460783858245,2133,-0.003174603174603169,0.0,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_unemployment_level,1,0.026516226339596792,0.22101018145530152,0.017947853237475893,0.40750207330277527,2132,-0.006349206349206343,-0.0198412698412698,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_unemployment_level,2,0.02206989566067913,0.30851951652079446,0.017104867562928425,0.42999380114745406,2131,-0.0007936507936508186,-0.00793650793650802,10,3,0.7521989852887014,0.3,REMOVE,4.5
AAPL,macro_unemployment_level,3,0.023570443962884848,0.2768893150955402,0.017403154453202462,0.42210285514254237,2130,-0.007936507936507936,-0.011904761904761918,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_unemployment_level,10,0.021123543012480376,0.33064068396090385,0.01577558130263651,0.46753648852372637,2123,-0.0047619047619047615,0.0,10,3,0.7700765011004232,0.3,REMOVE,4.5
AAPL,macro_unemployment_change,1,0.02926141847286237,0.1799028648534535,0.014850036319612755,0.49620649009509765,2102,-0.0007936507936507964,-0.003968253968253954,10,3,0.7433862032586501,0.3,REMOVE,4.5
AAPL,macro_unemployment_change,2,0.02690178183545929,0.21773353546787017,0.020478549079378728,0.3481374315494535,2101,-0.003968253968253971,-0.007936507936507908,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_unemployment_change,5,0.024478749638340302,0.2624059409055618,0.01897471440652006,0.38502397590794757,2098,-0.0015873015873015706,-0.007936507936507908,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_yield_curve_10y2y,5,-0.006480581575241475,0.7624975920375282,-0.01528490569413995,0.4759693696459334,2177,-0.011904761904761908,-0.01190476190476189,10,3,0.9414827798563781,0.3,REMOVE,4.5
AAPL,macro_yield_curve_10y2y,20,-0.009268683078839816,0.6666655323178495,-0.018054522740442912,0.4014302178254934,2162,-0.010317460317460326,-0.003968253968253982,10,3,0.9234012715298451,0.3,REMOVE,4.5
AAPL,macro_yield_curve_change_5d,1,0.00666847144629912,0.7558819614682005,0.017617346348588837,0.41141918978477826,2176,-0.007936507936507941,-0.003968253968253982,10,3,0.9414827798563781,0.3,REMOVE,4.5
AAPL,macro_cpi_yoy,0,-0.031236847411758924,0.17567657555916083,-0.02403775249863537,0.29741779610188207,1881,-0.011904761904761904,-0.01190476190476189,8,2,0.7433862032586501,0.25,REMOVE,3.75
AAPL,macro_cpi_yoy,5,-0.029696405615541172,0.1985613347389735,-0.02359985468767273,0.3069526727754424,1876,-0.01984126984126984,-0.01190476190476189,8,2,0.7472016676338081,0.25,REMOVE,3.75
AAPL,macro_fed_funds_change_5d,1,-0.012780669647888949,0.5512623934939693,-0.019704930770428494,0.3582268428699946,2176,-0.007142857142857134,-0.003968253968253954,10,2,0.8974038963855314,0.2,REMOVE,3.0
AAPL,macro_fed_funds_change_5d,3,-0.011770642334658354,0.5833325917320221,0.013652063267364534,0.5246415018886309,2174,-0.008730158730158727,0.0,10,2,0.9006399502634319,0.2,REMOVE,3.0
AAPL,macro_us10y_change_5d,0,-0.011187400149630232,0.6018778550894154,-0.01460457454223315,0.49582716717969694,2177,-0.007142857142857145,0.0,10,2,0.9022541882752447,0.2,REMOVE,3.0
AAPL,macro_financial_conditions_change_5d,10,0.0008295950387854972,0.9694334558131509,0.0016157544539204254,0.9405079373887517,2136,-0.003968253968253965,-0.003968253968253954,10,2,0.9867952776059082,0.2,REMOVE,3.0
AAPL,macro_cpi_change_30d,2,-0.02799572546634345,0.19959072903553485,-0.01593264877177785,0.4654444523935853,2101,-0.018253968253968272,-0.019841269841269854,10,2,0.7472016676338081,0.2,REMOVE,3.0
AAPL,macro_cpi_change_30d,3,-0.026173425266713436,0.23056361678365836,-0.01607373033322371,0.46160908354781066,2100,-0.00873015873015875,-0.003968253968253982,10,2,0.7472016676338081,0.2,REMOVE,3.0
AAPL,macro_cpi_change_30d,10,-0.019899181197724637,0.3628646026323388,-0.0030249661864443183,0.88999717714386,2093,-0.017460317460317447,-0.023809523809523808,10,2,0.7946530151804644,0.2,REMOVE,3.0
AAPL,macro_unemployment_level,5,0.024261480951267976,0.2632701717104366,0.01643938156866656,0.44847587352596835,2128,-0.009523809523809507,-0.011904761904761862,10,2,0.7472016676338081,0.2,REMOVE,3.0
AAPL,macro_unemployment_change,10,0.023294740896514194,0.28677350316400085,0.025843182303854927,0.23728546324107855,2093,-0.008730158730158732,-0.007936507936507936,10,2,0.7472016676338081,0.2,REMOVE,3.0
AAPL,macro_unemployment_change,20,0.006069570702377446,0.7818946437672191,0.02096326385153916,0.338924765581218,2083,-0.00714285714285714,0.0,10,2,0.9431526001539491,0.2,REMOVE,3.0
