asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
QQQ,macro_cpi_yoy,1,-0.08518800949827557,0.0002173639935980963,-0.07397961051467349,0.0013276024449694955,1880,0.004960317460317477,0.003968253968253954,8,4,0.028950010412091512,0.5,INVESTIGATE,67.5
QQQ,macro_cpi_yoy,2,-0.08383245449357594,0.0002748608293894658,-0.07069248991176066,0.0021684515701714683,1879,0.008928571428571432,0.011904761904761918,8,6,0.028950010412091512,0.75,KEEP,96.25
QQQ,macro_cpi_yoy,5,-0.08424337930806494,0.00025931463184518237,-0.07263214591571526,0.0016441179423231926,1876,0.005952380952380952,0.007936507936507908,8,6,0.028950010412091512,0.75,KEEP,96.25
QQQ,macro_cpi_yoy,3,-0.08488665158653816,0.00023065115536951674,-0.0718026956462421,0.0018483123405991294,1878,0.009920634920634941,0.015873015873015872,8,5,0.028950010412091512,0.625,KEEP,94.38
QQQ,macro_cpi_yoy,10,-0.0861795499390698,0.000189848499598501,-0.07374121177968683,0.0014134270766932102,1871,0.010912698412698436,0.007936507936507964,8,5,0.028950010412091512,0.625,KEEP,94.38
QQQ,macro_cpi_yoy,20,-0.08722330176245557,0.00016495219965966334,-0.07455791100997768,0.0012877479864906996,1861,0.007936507936507964,0.011904761904761918,8,5,0.028950010412091512,0.625,KEEP,94.38
QQQ,macro_cpi_change_30d,20,-0.0744573087363168,0.0006716308771288198,-0.06698807413724249,0.002221292217904987,2083,-5.551115123125783e-18,0.003968253968253954,10,5,0.040745606545815063,0.5,WEAK,37.5
QQQ,macro_cpi_yoy,0,-0.08626781684348854,0.00017969379034451247,-0.07376409328935618,0.0013675170509481968,1881,0.001984126984126984,0.0,8,3,0.028950010412091512,0.375,WEAK,35.62
SPY,macro_cpi_yoy,1,-0.08221706330105553,0.00035900533293069844,-0.06822085607822098,0.003081719795423835,1880,0.020833333333333343,0.003968253968253982,8,4,0.029825833601588168,0.5,INVESTIGATE,67.5
SPY,macro_cpi_yoy,20,-0.08417243575965441,0.00027781525631759,-0.06976098215161741,0.002603139281610264,1861,0.013888888888888874,0.007936507936507936,8,4,0.028950010412091512,0.5,INVESTIGATE,67.5
SPY,macro_cpi_yoy,5,-0.08099655833959592,0.0004453818223190628,-0.06746869660514326,0.003459610669971772,1876,0.018849206349206366,0.015873015873015928,8,6,0.029825833601588168,0.75,KEEP,96.25
SPY,macro_cpi_yoy,10,-0.08092191867082084,0.00045885897848597186,-0.06615554009572033,0.004199344130316763,1871,0.024801587301587324,0.019841269841269854,8,6,0.029825833601588168,0.75,KEEP,96.25
SPY,macro_cpi_yoy,0,-0.08354618087419385,0.00028631878429541055,-0.06902611181937222,0.0027419329736112206,1881,0.025793650793650785,0.019841269841269854,8,5,0.028950010412091512,0.625,KEEP,94.38
SPY,macro_cpi_yoy,2,-0.08140637834833818,0.0004120036734580996,-0.06616960611290894,0.0041109656382259125,1879,0.021825396825396817,0.015873015873015844,8,5,0.029825833601588168,0.625,KEEP,94.38
SPY,macro_cpi_yoy,3,-0.08153404390945285,0.0004048709133565329,-0.06605842703049701,0.004184288244473111,1878,0.01984126984126986,0.015873015873015928,8,5,0.029825833601588168,0.625,KEEP,94.38
