Date,Close,prob_up,trend_50,volatility_20,trend_regime,high_vol,baseline_signal,regime_filter,signal,model_version,threshold,vol_threshold,fee_per_side,slippage_per_side,rule
2026-09-05,79823.867188,0.423468,0.155281,0.029140,Bull,True,False,True,0,V1.10.9.1,0.6,0.026935,0.001,0.0005,Bull OR High Vol
2026-09-07,80049.296875,0.433182,0.153451,0.029009,Bull,True,False,True,0,V1.10.9.1,0.6,0.026935,0.001,0.0005,Bull OR High Vol
